candidate,seed,shot,category,samples,pixel_stride,visual_pixel_auroc,visual_pixel_ap,visual_aupro,fused_pixel_auroc,fused_pixel_ap,fused_aupro,delta_pixel_auroc,delta_pixel_ap,delta_aupro,oracle_pixel_ap_gain,routing_efficiency_ap,rescue_pixel_count,rescue_true_pixel_count,rescue_coverage,anomaly_coverage,rescue_precision,harm_rate,anomaly_prevalence,rescue_precision_lift,image_rescue_enabled,test_labels_used_by_router
region_balanced,2,2,bracket_black,79,8,0.9261537637284678,0.03252195378666519,0.7932567245664559,0.9261537807045438,0.03252195378666519,0.7932567245664559,1.6976075989383332e-08,0.0,0.0,0.3399968504778025,0.0,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_strict,2,2,bracket_black,79,8,0.9261537637284678,0.03252195378666519,0.7932567245664559,0.9261537807045438,0.03252195378666519,0.7932567245664559,1.6976075989383332e-08,0.0,0.0,0.3399968504778025,0.0,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_wide_visual,2,2,bracket_black,79,8,0.9261537637284678,0.03252195378666519,0.7932567245664559,0.9261521170490935,0.03252194512268023,0.7932567245664559,-1.6466793743008523e-06,-8.663984960022297e-09,0.0,0.3399968504778025,-2.5482544758419597e-08,71,0,0.00028658615344872126,0.0,0.0,1.0,0.0009606690777576853,0.0,False,False
region_permissive,2,2,bracket_brown,77,8,0.9376886915821927,0.05389566538421089,0.8231570947826344,0.9376886896756563,0.053895895562646595,0.8231570947826344,-1.9065363732195806e-09,2.3017843570755092e-07,0.0,0.31364428654346566,7.338837198159902e-07,4,0,1.6565067585475748e-05,0.0,0.0,1.0,0.0045181221839385105,0.0,False,False
region_balanced,2,2,bracket_brown,77,8,0.9376886915821927,0.05389566538421089,0.8231570947826344,0.9376886896756562,0.053895895562646595,0.8231570947826344,-1.906536484241883e-09,2.3017843570755092e-07,0.0,0.31364428654346566,7.338837198159902e-07,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_strict,2,2,bracket_brown,77,8,0.9376886915821927,0.05389566538421089,0.8231570947826344,0.9376886896756562,0.053895895562646595,0.8231570947826344,-1.906536484241883e-09,2.3017843570755092e-07,0.0,0.31364428654346566,7.338837198159902e-07,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_wide_visual,2,2,bracket_brown,77,8,0.9376886915821927,0.05389566538421089,0.8231570947826344,0.9376886896756562,0.053895895562646595,0.8231570947826344,-1.906536484241883e-09,2.3017843570755092e-07,0.0,0.31364428654346566,7.338837198159902e-07,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_permissive,2,2,bracket_white,60,8,0.9958363368863341,0.06002042962420089,0.9832920954842428,0.9958363368863341,0.0600204296242009,0.9832920954842428,0.0,6.938893903907228e-18,0.0,0.058557507701433045,1.184970839142701e-16,24,0,0.00012755102040816328,0.0,0.0,1.0,0.00022852891156462584,0.0,False,False
region_balanced,2,2,bracket_white,60,8,0.9958363368863341,0.06002042962420089,0.9832920954842428,0.9958363368863341,0.0600204296242009,0.9832920954842428,0.0,6.938893903907228e-18,0.0,0.058557507701433045,1.184970839142701e-16,19,0,0.00010097789115646258,0.0,0.0,1.0,0.00022852891156462584,0.0,False,False
region_strict,2,2,bracket_white,60,8,0.9958363368863341,0.06002042962420089,0.9832920954842428,0.9958363368863341,0.0600204296242009,0.9832920954842428,0.0,6.938893903907228e-18,0.0,0.058557507701433045,1.184970839142701e-16,15,0,7.971938775510203e-05,0.0,0.0,1.0,0.00022852891156462584,0.0,False,False
