step,loss,seg,ap,cp,gate
361,1.298574,1.292296,0.006253,0.005263,0.003975
362,1.303431,1.297579,0.003044,0.006399,0.003964
363,1.152974,1.147920,0.001762,0.003826,0.003936
364,1.183781,1.178414,0.003642,0.003544,0.003930
365,1.287558,1.281536,0.004439,0.005900,0.003954
366,1.189529,1.184219,0.002989,0.003995,0.003913
367,1.266255,1.259361,0.009976,0.005065,0.003885
368,1.300879,1.295129,0.003585,0.005835,0.003867
369,1.372212,1.366188,0.004498,0.006363,0.003852
370,1.327369,1.321138,0.005296,0.006670,0.003839
371,1.289495,1.283805,0.004073,0.005259,0.003824
372,1.315747,1.309893,0.004136,0.006087,0.003810
373,1.266846,1.261315,0.002711,0.005962,0.003797
374,1.302180,1.296232,0.005194,0.005616,0.003786
375,1.289516,1.282936,0.008580,0.005446,0.003774
376,1.250023,1.243945,0.007343,0.004242,0.003762
377,1.298727,1.293091,0.003725,0.005708,0.003749
378,1.310897,1.305557,0.002773,0.005230,0.003740
379,1.254671,1.249231,0.004037,0.004474,0.003738
380,1.256398,1.250837,0.004520,0.004450,0.003768
381,1.345896,1.339861,0.005644,0.005802,0.003746
382,1.291040,1.285502,0.004725,0.004430,0.003706
383,1.228243,1.222511,0.006248,0.003975,0.003687
384,1.204522,1.199522,0.002646,0.003988,0.003673
385,1.233400,1.227878,0.005129,0.004172,0.003662
386,1.214943,1.209983,0.003008,0.003559,0.003647
387,1.230255,1.225176,0.002823,0.004420,0.003630
388,1.311877,1.306666,0.002983,0.004983,0.003618
389,1.239501,1.233560,0.007608,0.004056,0.003608
390,1.433276,1.425939,0.011733,0.006962,0.003598
391,1.247925,1.242811,0.003183,0.004449,0.003587
392,1.323401,1.317712,0.005254,0.005276,0.003583
393,1.303602,1.297361,0.008347,0.004921,0.003588
394,1.365976,1.359753,0.006155,0.007155,0.003560
395,1.319823,1.313454,0.008306,0.005808,0.003546
396,1.387399,1.381580,0.004158,0.007265,0.003534
397,1.351841,1.345833,0.005312,0.007101,0.003525
398,1.238238,1.233050,0.003390,0.004993,0.003511
399,1.328651,1.323297,0.003102,0.006133,0.003507
400,1.278179,1.272815,0.004354,0.004636,0.003565
401,1.239369,1.233871,0.005412,0.004210,0.003574
402,1.346550,1.339658,0.010531,0.006408,0.003504
403,1.308465,1.302758,0.006279,0.004819,0.003488
404,1.255106,1.249789,0.004164,0.005183,0.003447
405,1.355040,1.348921,0.009188,0.004220,0.003437
406,1.254520,1.249010,0.005548,0.004853,0.003430
407,1.255324,1.250666,0.002444,0.003773,0.003415
408,1.217482,1.212408,0.003535,0.004845,0.003399
409,1.238500,1.232268,0.009801,0.004426,0.003387
410,1.263322,1.258104,0.003379,0.005823,0.003377
411,1.289527,1.284265,0.004037,0.005418,0.003371
412,1.328400,1.322700,0.005914,0.005764,0.003364
413,1.252446,1.247081,0.004609,0.005467,0.003351
414,1.202354,1.197579,0.003662,0.003517,0.003340
415,1.242192,1.236939,0.004565,0.005047,0.003331
416,1.287795,1.282714,0.004085,0.004691,0.003325
417,1.217303,1.212221,0.004966,0.003803,0.003328
418,1.320890,1.313527,0.012522,0.007592,0.003340
419,1.266434,1.261049,0.004979,0.005385,0.003312
420,1.262624,1.256855,0.008138,0.004244,0.003292
421,1.309323,1.304169,0.005005,0.004353,0.003282
422,1.282932,1.277891,0.003161,0.005673,0.003274
423,1.217835,1.212629,0.005600,0.004127,0.003261
424,1.239118,1.234030,0.004900,0.004271,0.003254
425,1.329213,1.323694,0.004936,0.006427,0.003246
426,1.281862,1.276738,0.003433,0.006014,0.003235
427,1.158666,1.153501,0.006168,0.003523,0.003227
428,1.366680,1.360810,0.006486,0.006770,0.003219
429,1.305824,1.300475,0.006001,0.004694,0.003211
430,1.305051,1.300151,0.003728,0.004755,0.003203
431,1.306425,1.301303,0.002837,0.006797,0.003195
432,1.244725,1.239142,0.007402,0.004574,0.003188
433,1.307793,1.302629,0.004797,0.005109,0.003183
434,1.312825,1.307719,0.004432,0.005186,0.003183
