method,shot,category,seed_count,image_auroc_mean,image_auroc_std,image_ap_mean,image_ap_std,image_f1_max_mean,image_f1_max_std,pixel_auroc_mean,pixel_auroc_std,pixel_ap_mean,pixel_ap_std,aupro_mean,aupro_std
PromptAD,4,chewinggum,3,0.9428333333,0.0208012820,0.9747608466,0.0091101899,0.9114985771,0.0233099351,0.9925711809,0.0008402827,0.6326917789,0.0548499013,0.8836842356,0.0027491315
PromptAD,4,fryum,3,0.8957000000,0.0419508045,0.9442049139,0.0241937320,0.9005905379,0.0301824262,0.9611105142,0.0045393366,0.3744281120,0.0182207431,0.8180169424,0.0168963381
PromptAD,4,macaroni1,3,0.8228166667,0.0128476003,0.8265756322,0.0148348755,0.7636186092,0.0086188747,0.9795603388,0.0029156714,0.0785510126,0.0051473184,0.9021774827,0.0031984941
PromptAD,4,macaroni2,3,0.6331166667,0.0906659988,0.6269578089,0.1044220170,0.6925881464,0.0169733359,0.9662240004,0.0070490250,0.0371635233,0.0054466562,0.8394165177,0.0089553464
PromptAD,4,pcb1,3,0.8656500000,0.0109750854,0.8528244175,0.0137904660,0.8341406344,0.0234840408,0.9712706353,0.0099808360,0.4461962376,0.0531760488,0.8631866621,0.0281736947
PromptAD,4,pcb2,3,0.6928500000,0.0333270536,0.6986994522,0.0404135709,0.7012910361,0.0140260684,0.9513426412,0.0021996365,0.0919149963,0.0137321661,0.7670385977,0.0203444592
PromptAD,4,pcb3,3,0.7330363036,0.0043604654,0.7474206297,0.0181776200,0.7061150841,0.0179445272,0.9660427058,0.0012430110,0.2190993798,0.0199262957,0.8117029525,0.0152549534
PromptAD,4,pcb4,3,0.8737953795,0.0333315524,0.8705364720,0.0354562916,0.8086272445,0.0233440228,0.9627590857,0.0028670571,0.1926846354,0.0173019227,0.7982294577,0.0110953292
PromptAD,4,pipe_fryum,3,0.7850333333,0.1313657616,0.8676194903,0.0835713599,0.8529876692,0.0425652006,0.9900379320,0.0009370285,0.5832579199,0.0535230312,0.9421997035,0.0051398523
WinCLIP+,1,candle,3,0.8435666667,0.0019655364,0.8530309718,0.0022486357,0.7802748213,0.0009653357,0.9076382493,0.0006731604,0.0267843907,0.0002855597,0.8535562301,0.0003721059
WinCLIP+,1,capsules,3,0.6333888889,0.0101164516,0.7312783000,0.0056390985,0.7722347388,0.0052030279,0.8464209034,0.0194119135,0.0254023757,0.0060752482,0.4111342600,0.0305483022
WinCLIP+,1,cashew,3,0.6876000000,0.0069541355,0.8271082903,0.0087779332,0.8108822684,0.0024762959,0.9157909838,0.0011910305,0.0741073288,0.0025904233,0.8118424744,0.0054331416
WinCLIP+,1,chewinggum,3,0.8150000000,0.0324906140,0.9134558043,0.0149455410,0.8364577681,0.0130357006,0.9737115130,0.0027288274,0.3918239847,0.0169266657,0.7695205360,0.0054904125
WinCLIP+,1,fryum,3,0.6583333333,0.0189676918,0.7766744871,0.0142103990,0.8122712606,0.0073072026,0.9073113685,0.0013950596,0.1347985706,0.0069351006,0.7663573821,0.0032674782
WinCLIP+,1,macaroni1,3,0.6175333333,0.0258147890,0.6396125041,0.0244617208,0.6768328267,0.0063051086,0.9214868928,0.0018435868,0.0244332733,0.0016648192,0.7166774270,0.0097877937
WinCLIP+,1,macaroni2,3,0.5776333333,0.0133769703,0.5377553461,0.0069089306,0.6765474554,0.0057345096,0.8414609770,0.0041835942,0.0016939796,0.0000993230,0.4536985795,0.0174817998
WinCLIP+,1,pcb1,3,0.7770000000,0.0053028294,0.6913314631,0.0062295710,0.8057111314,0.0012676503,0.8463924948,0.0147364606,0.0169147094,0.0020018575,0.3528135300,0.0428256202
WinCLIP+,1,pcb2,3,0.5518333333,0.0313002130,0.5596599679,0.0398475135,0.6786764654,0.0046234544,0.8506981684,0.0035197104,0.0094298322,0.0014167076,0.5537487559,0.0169817206
WinCLIP+,1,pcb3,3,0.5278217822,0.0121532385,0.5135376755,0.0035913167,0.6689189189,0.0000000000,0.8613701668,0.0037438498,0.0109037922,0.0003213774,0.6922005930,0.0133105875
WinCLIP+,1,pcb4,3,0.7957425743,0.0430081505,0.7936034736,0.0464268010,0.7599523912,0.0381507932,0.9457014127,0.0024830947,0.1357935356,0.0204666645,0.7691181373,0.0163894772
WinCLIP+,1,pipe_fryum,3,0.9102666667,0.0075268409,0.9572929282,0.0038008581,0.8954132958,0.0075544624,0.9795380982,0.0021905077,0.3876434960,0.0252584834,0.9307145794,0.0077066339
WinCLIP+,2,candle,3,0.8448000000,0.0036864617,0.8549982947,0.0018624541,0.7843135287,0.0061257522,0.9084918689,0.0005173794,0.0272914711,0.0003902810,0.8526237106,0.0022765143
WinCLIP+,2,capsules,3,0.6623333333,0.0031666667,0.7582946265,0.0079952358,0.7700289335,0.0006912305,0.8582936414,0.0185445767,0.0290357567,0.0069439039,0.4176235373,0.0336135633
WinCLIP+,2,cashew,3,0.6964000000,0.0051068581,0.8376996394,0.0070141416,0.8103559674,0.0033550056,0.9182870824,0.0015354534,0.0768845580,0.0017263746,0.8146759624,0.0090944446
WinCLIP+,2,chewinggum,3,0.8509333333,0.0361022622,0.9308015491,0.0181501841,0.8456763760,0.0167786755,0.9769119432,0.0025324798,0.4181393707,0.0230556540,0.7801322014,0.0065827141
WinCLIP+,2,fryum,3,0.6594000000,0.0282892206,0.7793969216,0.0121226495,0.8103629169,0.0024529722,0.9086469409,0.0006577266,0.1374455387,0.0044538035,0.7689958414,0.0033176476
WinCLIP+,2,macaroni1,3,0.6298666667,0.0076166484,0.6515100049,0.0090951014,0.6771784471,0.0057677756,0.9246395106,0.0012242138,0.0260288790,0.0014881127,0.7338008465,0.0057897381
WinCLIP+,2,macaroni2,3,0.5778000000,0.0145433834,0.5353485828,0.0105127816,0.6875266789,0.0046619826,0.8398855082,0.0050775428,0.0017150530,0.0001563221,0.4515749127,0.0237098141
WinCLIP+,2,pcb1,3,0.7857333333,0.0003511885,0.6894487603,0.0042829605,0.8144033101,0.0027543196,0.8615383360,0.0074567383,0.0191852543,0.0012921910,0.3814487101,0.0342005447
WinCLIP+,2,pcb2,3,0.5938333333,0.0095448066,0.6033950262,0.0068167134,0.6769866672,0.0047419528,0.8617005610,0.0016557016,0.0116966598,0.0005895869,0.5716525980,0.0059630299
